,uri,name,description,query,author,n_tracks,playlist_followers
71,spotify:playlist:5VIA80IMPABEiBsopPwfOU,Experimental Rock,,Experimental Rock,31npf3ew674jv7fapfbgv7vfka7y,17,0
72,spotify:playlist:72xZFZVNXA6ILNuBiQ6L3O,Experimental rock,,Experimental Rock,12152874122,84,0
73,spotify:playlist:2gNTpZxVxW4KLyceVYFgms,goth rock / post punk,Photo by Graham Trott.,Goth Rock,juliaawillems,199,58055
74,spotify:playlist:49ZP1Xfm0ZFXvuxtFiuA59,"80s New Wave, Synth Pop & Goth Rock",,Goth Rock,thatgoesinthere,60,22683
75,spotify:playlist:4YRcd9YPkL8WNSC1SJzr0F,90's japanese goth rock,"late 80s - early 90s visual kei, new wave, goth rock. photo: atsushi sakurai",Goth Rock,elly.c98,546,1628
76,spotify:playlist:5pBCxawl9PngGLtC4r6jJf,"Gothic Rock - 70s, 80s, 90s Goth Rock Sounds","A journey through Dark &amp;Gothic rock sounds from the 70s-90s. The Cure, Alien Sex Fiend, Skeletal Family, Bauhaus,  Killing Joke, Joy Division, Red Lorry Yellow Lorry, The Birthday Party, and more🖤🦇💀 <a href=""https://www.cherryred.co.uk/label/anagram-records/"">Tap here for Gothic sounds on CD/Vinyl</a>",Goth Rock,cherryredrecords,73,1035
77,spotify:playlist:67Wc1DmreSFwK6NSEak18J,Goth Rock 🪦,,Goth Rock,1287798574,26,974
78,spotify:playlist:2KclsAxa8WKTnkQw2e7T4Y,2000s goth rock,,Goth Rock,theweiner34,54,814
79,spotify:playlist:4AYMESC0TWwZ1Iwk7WmHFF,British 80's Post-Punk | Goth Rock | Dark New Wave | Synth Rock | Synthpop,Depeche Mode | The Cure | The Smiths | Everything but the Girl | Siouxsie and the Banshees | Echo &amp; the Bunnymen | Generation X | Killing Joke | New Order | Bauhaus | 13th Chime | Orchestral Manoeuvres in the Dark | Joy Division | When in Rome | Naked Eyes | Anne Clark,Goth Rock,alexandergju,181,748
80,spotify:playlist:1NR6BVivQfMr9E1g2Ezey1,"goth rock, like, 2003 Evanescence goth rock?",,Goth Rock,penelopeloralei,26,599
81,spotify:playlist:5rne1nyla8MeUOdfPuvbUb,Slow/Romantic/Goth Rock🥀,,Goth Rock,tkoesdni2ba87udomoql3mq7y,114,263
82,spotify:playlist:41ya0IRu8aL9FtXhGVNVMF,japanese goth rock visual kei,@issepagalilea,Goth Rock,313w4n3qzfxfjtdkpg5eiv3kunri,314,260
83,spotify:playlist:5GHcen0D1K0VStM0Eu6u5N,Goth/Goth Rock Faves,,Goth Rock,12123447200,294,2
84,spotify:playlist:37i9dQZF1DX11ghcIxjcjE,Grunge Forever,Grunge will live forever. Cover: Eddie Vedder,Grunge,spotify,50,1462714
85,spotify:playlist:37i9dQZF1DWVwr24yj95lH,Post-Grunge Society,The best Grunge heirs' songs. Cover: Creed,Grunge,spotify,100,562469
86,spotify:playlist:4jI0w5igu774l980bztksb,"Alien Cake Lofi 👽 90’s Grunge, Emo, and Pop-Punk ","Bringing You Lofi 90’s Grunge, Emo, and Pop-Punk From a Cosmic Realm.  SONG REQUESTS <a href=""https://docs.google.com/forms/d/e/1FAIpQLSf83Rl6PEXrBCKeFcvFdPzWHbwfXRTMPS8EcxJmTlf9qzBfeA/viewform?usp=sf_link"">HERE</a>",Grunge,6omh71df69v8jenx78r17foo7,190,177105
87,spotify:playlist:1AHu1KznCUi9drUDx82Tq6,90's Grunge/Rock,Grunge rock hits from the 90s,Grunge,adrianperegrino,358,130875
88,spotify:playlist:2NfKuimnrqH31osx7GXnhl,GRUNGE,,Grunge,zerubi,6037,86655
89,spotify:playlist:118vZyUVFnaJkcPgxEkdd0,Seattle Grunge,,Grunge,genestealeruk,198,42055
90,spotify:playlist:3vBpO12AF2L6LAtVjXOar0,Grunge Society,Cover: EKKSTACY | topshelfspotify@gmail.com,Grunge,31wsrcliw2slynauiszkpff2bvzq,17,31671
91,spotify:playlist:3yPIwFAm6vLZn8JbyyjXaP,Grunge Hits,"Some of the best grunge songs by the best grunge bands from the late 80s and 90s. Songs from Pearl Jam, Soundgarden, Nirvana, Stone Temple Pilots and many more are included!",Grunge,zachattack107,108,24269
92,spotify:playlist:13yDhgnxYv3gqTA7LTilm7,90’s Grunge & Alternative ,"Experience one of the greatest eras in music. Follow my 90’s Hip Hop, Punk, and 00’s Alternative playlists for more!",Grunge,dfish96,462,19038
93,spotify:playlist:680zBAsS5ABfcPSIZkeWAt,Grunge aesthetic,,Grunge,1186138888,696,17334
94,spotify:playlist:2Z0x89wG9yWfsH0D9YYOhc,Grunge: Unplugged MTV,"Seleção dos Acústicos MTV: Nirvana, Pearl Jam, Alice In Chains e Stone Temple Pilots. #grunge #nirvana #pearljam #aliceinchains #stonetemplepilots #unpluggedMTV #acústicoMTV",Grunge,viniciuspolastri,25,15766
95,spotify:playlist:4DBNiodMbcFPvEXkTUUufH,Classics of Grunge,,Grunge,zachfleer,112,15719
96,spotify:playlist:1wSNdUthGb0OI64uXJfSbP,Grunge Greatest Hits 🎸,"Best Songs from the 90s &amp; 00s mixed with New Talents - Submit your song at <a href=""https://www.instagram.com/frisbee_music_official/"">Frisbee Music Official</a> - Grunge Playlist with Music that keeps the fire alive!  ",Grunge,cytpxbcy0o2tn4nw3789snhde,207,9406
99,spotify:playlist:6sei0rz49OBs8DHlp4q3Dl,Grunge/Chill Rock,"Anything from Nirvana Pearl Jam or Soundgarden, to the Red Hot Chili Pepps, to the Foo Fighters. Basically any Rock that is from the 90&#x27;s-current, with a tad majority of Seattle Grunge",Grunge,1214408002,337,5394
100,spotify:playlist:4bws3sdlCi7yrDfwlg9PsH,grunge is dead,Best served when shuffled,Grunge,12179322380,156,3024
101,spotify:playlist:42vdZFUpHTTE1WnxsDKocA,grunge coquette,,Grunge,31tps34k7rt7hra7vwdx5lnfjvda,42,2818
102,spotify:playlist:55JLMpiTkYbzezZYfJYDNi,a playlist for your grunge aesthetic 🎸,,Grunge,5hof636b88a4aid5grr2wr7in,68,2809
103,spotify:playlist:7eBE1sebCrtZ9j6tfxaeeu,grunge indie,add a sprinkle (or truckload) of mentally ill and ~voila~      (indie songs with a grunge vibe),Grunge,longhorntaylorann,69,2696
104,spotify:playlist:7mCzIltN0jFQ54GH02HMsY,Hardcore Punk,HARDCORE / PUNK SONGS YOU SHOULD KNOW.,Hardcore Punk,purenoiserecords,317,66249
105,spotify:playlist:4vfvyrIJkBe6aGWVu62RNu,80's Hardcore Punk,"The golden age of hardcore punk. A land where everything was fast, angry and punk as fuck.",Hardcore Punk,12142440909,205,13676
106,spotify:playlist:53kZrUhWU8h0ByJ4BpKH25,"Hardcore Punk, Crossover Thrash, Post Punk, Anarcho Punk",,Hardcore Punk,bahadirmahmut,224,8294
107,spotify:playlist:3AnTQ3q5zb9AxiFTdoU6FA,HARDCORE PUNK,,Hardcore Punk,p5b736d9o3pg6x1r06ogfkbqy,917,3364
108,spotify:playlist:1jGA6Ymn8l1glScVL22g9J,"GYM METALCORE (hardcore punk, djent, deathcore, post-hardcore)",Mainly metalcore with other genres thrown in. Music to keep you going. (480) 848-3168. Suggestions are welcome. ,Hardcore Punk,garrett_hemeyer,1070,3352
109,spotify:playlist:3CPr2SoyTTnMkBzORpKpnp,female fronted hardcore punk bands,enjoy female talent,Hardcore Punk,claudiaolivajimenez,458,2891
110,spotify:playlist:1Ly0vDuTMPjOG4v82Uqzyz,Hardcore Punk Brasileiro,O melhor do punk e hardcore do Brasil,Hardcore Punk,gtcarlos,996,2228
111,spotify:playlist:7jz5CBvloB0JmsCS6U7wL5,Hardcore Punk | Anarcho | Crust | D-Beat,"Updated monthly!! Not listed: Disclose, Tampere SS, Ekkaia, Finalbloodbath, Crow, Bombanfall, Gloom",Hardcore Punk,shdwgazer91,629,2142
112,spotify:playlist:5PrAB6NlArFn2iXEZx5nAt,Japanese Hardcore Punk,,Hardcore Punk,xoixqnvscgat2xek9wug4z02d,71,2039
113,spotify:playlist:2sI5te2KKBPNnAXa9wYG88,TWO-STEP HARDCORE / HARDCORE PUNK,Some old and some new shit. One song per band. Last update March 2023. Cover: Turnstile,Hardcore Punk,1113707482,145,1145
114,spotify:playlist:0e5t5DluBj4ZBBOYLSrNEA,Modern Hardcore Punk,Hardcore lives,Hardcore Punk,xgallx,62,1029
115,spotify:playlist:3jB8FI0rtt2nkU43nM7LtA,Hardcore Punk Skinhead Oi! oldschool,calm me down pls hehehe,Hardcore Punk,11123291337,209,1024
116,spotify:playlist:4GAtT7Cwu4HhLGnRgBCNct,Irish Rock - Hardcore Punk/Celtic,"PlayList Top Irish Rock Musics&#x2F;Bands. O Melhor dos Estilos Celtic Punk-Rock Music (Rock&#x2F;Folk) &amp; Punk Rock Irlandês, você encontra AQUI! Um Oferecimento do IG @TrechosDoRock.Official &amp; @Bukowski_OLegado.Official 🍻 \mn&#x2F;",Hardcore Punk,rafamusic01,2135,770
117,spotify:playlist:6DY8siwRSRPSJvX31fupPi,HardCore Punk Español,"PunkCore, D-beat... en Español",Hardcore Punk,keynome,116,683
118,spotify:playlist:1yOmxdYS1oOAb7e9mjKCfE,Female Hardcore Punk,,Hardcore Punk,31p23hd555wx5pprmuja5tpbis2y,54,663
119,spotify:playlist:25RQxkHKrmZJVyzETigXv7,Classic Hardcore Punk,,Hardcore Punk,1246869082,108,545
120,spotify:playlist:0s0QeDG7lPR4xLMr9ifF1b,Women in Hardcore Punk!,"Hardcore, Punk, and Grindcore with front women. Playlist illu by Ruth Mora. I try to check pronouns before I add artists to the playlist - sorry if I fcked anyone’s up!",Hardcore Punk,1210019214,61,286
121,spotify:playlist:7bWnM7BbIf2f5GfkyfZhl6,80s California Hardcore Punk,"Curated playlist with the best songs from the first wave of Californian Hardcore and Skate Punk (early 80s). Also includes: Punk Rock, Post-Punk, Surf Punk, Melodic Hardcore, Nardcore, Adolescents, Black Flag, Circle Jerks, Dead Kennedys, Descendents, Dickies, Fear, Germs, TSOL, X. #HistoryOfPunk",Hardcore Punk,12179196607,156,156
122,spotify:playlist:3Kjre4k97MwFe66zU3FFq2,Hardcore Punk Noise ,,Hardcore Punk,f2nlbn76jgzei6iffmswtuhaa,190,116
123,spotify:playlist:3A5zUDVaPhxwZxG4NAK8MW,Japanese Hardcore Punk,日本のパンクとハードコア,Hardcore Punk,0come_toshplus,592,83
124,spotify:playlist:37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock,"Hair goals, spandex and epic guitar solos. We got you.",Hard Rock,spotify,106,1932445
125,spotify:playlist:37i9dQZF1DX1X7WV84927n,Hard Rock,For the Hard Rock and full-volume lovers. Cover: The HU & William DuVall of Alice In Chains,Hard Rock,spotify,52,307267
126,spotify:playlist:1GXRoQWlxTNQiMNkOe7RqA,Hard Rock /Metal,"The ideal compilation of Hard Rock and Heavy Metal, with the best of the 70s, 80s, and some of the 90s.",Hard Rock,roddmar,296,102661
127,spotify:playlist:6kXNv8J3HCYztxjOIUzApv,Hard Rock Workout,Rock out while you work out! Follow for updates!,Hard Rock,elevensevenmusic,122,57355
128,spotify:playlist:5cwIrjOMWTiGCYB5Z9oQix,Hard Rock Classics,,Hard Rock,juanfer01,178,44986
129,spotify:playlist:4O6AcOIt7qH8tm8DdNXCko,Metal/Hard Rock!,Best of Hard Rock&#x2F;Metal.,Hard Rock,31gkuedt35gbtn54dl2imxpgst7u,25,28962
130,spotify:playlist:3FdIr1hxVex2kDVUztbY0k,Hard Rock & Heavy Metal ,,Hard Rock,mitchell.holme2002,125,28437
131,spotify:playlist:3dN6um3Flj00M5kSk4Il44,Hard Rock Collection,And maybe a tiny bit of metal :P,Hard Rock,31rdr6ckxjw3j4djt4fvnqm6qfqu,59,22593
132,spotify:playlist:0Bosi20LaeNMbimMkpBwjU,Hard Rock Training/Workout,,Hard Rock,nachpe,932,20535
133,spotify:playlist:1yUUugwc8taQZbb6yL8u92,Hard Rock of the 1990s / 2000s,,Hard Rock,12614380,87,10968
134,spotify:playlist:5Ycb12itNWpo7Z6yJ2KDuC,HARD ROCK WORKOUT,"Best Hard Rock Gym Bodybuilding Fitness Workout Training Motivation Music Playlist 2023 // <a href=""https://fitleague.co"">www.fitleague.co</a>",Hard Rock,fitleague,88,8639
135,spotify:playlist:6kxr1VaaEV95BOTq4nwade,90s-00s Hard Rock and Metal,,Hard Rock,12178280954,179,8272
